No.,Career Name,Cluster,One-Line Summary,What They Do,Industries,Entry Salary (LPA),Mid Salary (LPA),Senior Salary (LPA),Top Earnings (LPA),Demand Level,Growth Rate,AI Impact,Core Skills,Key Certifications,Degree Required,Work-Life Balance,Stress Level,Entry Path,Who Should Choose,Who Should Avoid,Verdict,Money Score,Growth Score,Stability Score
1,AI/Machine Learning Engineer,Cluster 1,Designs AI systems that learn from data,"Writing ML code, training models, fine-tuning algorithms, deploying AI solutions","Tech, Finance, Healthcare, Ecommerce, Automotive",5-8,15-30,40-60+,1 Cr+,Very High,35%+,Low,"Python, ML algorithms, Deep Learning, Statistics","AWS ML Specialty, GCP ML Engineer",B.Tech/M.Tech CS preferred,6/10,7/10,B.Tech → ML courses → Projects → Job,"Analytical minds, math enthusiasts, continuous learners","Those wanting quick results, dislike math","Excellent career for analytical minds. High demand, requires constant learning.",9,10,7
2,Data Scientist,Cluster 1,Extracts insights from data for business decisions,"Data cleaning, analysis, building models, creating visualizations, presenting findings","All industries - Tech, Finance, Healthcare, Retail",5-8,12-20,25-50+,70+,Very High,25%+,Medium,"Python/R, SQL, Statistics, ML basics, Visualization","Google Data Analytics, IBM Data Science",B.Tech/B.Sc + skills or M.Tech preferred,7/10,6/10,Bootcamp + portfolio or degree,"Analytical thinkers, communicators, puzzle-solvers","Pure coders, those avoiding presentations",Versatile career bridging tech and business. Strong demand.,8,9,8
3,Cloud Solutions Architect,Cluster 1,Designs cloud infrastructure for organizations,"Cloud design, scalability planning, security, cost optimization, migration projects",All industries moving to cloud,8-12,20-35,40-80+,1 Cr+,Very High,30%+,Low,"AWS/Azure/GCP, Networking, Security, Linux","AWS Solutions Architect, Azure Architect",B.Tech + 5+ years experience,6/10,7/10,Software Engineer → Cloud Engineer → Architect,"Strategic thinkers, experienced engineers","Those wanting pure coding, avoiding responsibility",Top-tier career with excellent compensation. Requires patience.,10,9,8
4,Cybersecurity Analyst/Ethical Hacker,Cluster 1,Protects organizations from cyber threats,"Security monitoring, penetration testing, vulnerability assessment, incident response","Finance, Healthcare, Government, Tech, Defense",3.5-6,8-15,20-50+,70+,Very High,35%+,Low,"Networking, Linux, Security tools, Penetration testing","CEH, OSCP, CISSP",B.Tech preferred but skills matter more,6/10,8/10,Certifications + home lab → Junior Security role,"Curious problem-solvers, detail-oriented, persistent","Those wanting predictable hours, stress-sensitive",High demand career with critical shortage. High stress but rewarding.,8,9,9
5,Full Stack Web Developer,Cluster 1,Builds complete web applications (frontend + backend),"Coding, debugging, API development, database management, code reviews","Tech, E-commerce, Finance, Healthcare, Startups",3.5-6,8-15,18-30+,50+,High,15-20%,Medium,"HTML/CSS, JavaScript, React, Node.js, SQL","AWS Developer, MongoDB cert",B.Tech preferred but portfolio matters more,7/10,6/10,Bootcamp → Portfolio → Junior Developer,"Builders, problem-solvers, continuous learners","Those wanting fixed routine, avoiding complexity",Solid career with excellent freelance potential and versatility.,7,8,7
6,Mobile App Developer (iOS & Android),Cluster 1,Creates mobile applications for iOS/Android,"Writing mobile code, UI implementation, API integration, debugging, app submissions","Tech, E-commerce, Finance, Healthcare, Gaming",5-9,10-18,20-40+,60+,High,15-20%,Low,"Swift/Kotlin/Flutter, UI/UX basics, REST APIs",Google Android Developer cert,B.Tech preferred but portfolio matters,7/10,6/10,Bootcamp + published app → Junior Mobile Dev,"Mobile enthusiasts, detail-oriented developers",Those wanting deep backend work,Specialized career with strong demand and freelance potential.,7,8,7
7,DevOps & Site Reliability Engineer,Cluster 1,Ensures reliable software deployment and infrastructure,"CI/CD management, infrastructure automation, monitoring, incident response","Tech companies, Finance, Ecommerce, SaaS",5-8,12-20,25-45+,70+,Very High,25%+,Low,"Linux, Scripting, CI/CD, Cloud, Docker, Kubernetes","AWS DevOps, CKA (Kubernetes)",B.Tech CS preferred,6/10,7/10,Linux/Cloud skills → DevOps tools → Job,"System thinkers, those comfortable with responsibility","Those wanting predictable hours, avoiding on-call",Excellent career with high demand. Requires handling pressure.,9,9,8
8,Blockchain Developer,Cluster 1,Builds decentralized applications and smart contracts,"Writing smart contracts, building DApps, auditing code, testing security","Crypto/DeFi, Finance, Supply Chain, Gaming",5-8,10-20,25-50+,1 Cr+,Medium-High,20%+,Low,"Solidity, Web3.js, Smart contracts, JavaScript",Ethereum certifications,B.Tech preferred but skills matter,7/10,7/10,Web dev → Solidity learning → Web3 projects,"Risk-tolerant, crypto enthusiasts, tech innovators","Risk-averse, those wanting stable demand",Exciting but volatile career. High rewards in bull markets.,8,7,5
9,Prompt Engineer (Generative AI),Cluster 1,Designs effective prompts for AI systems,"Creating prompts, testing AI outputs, optimizing for better results, documentation","AI companies, Tech, Consulting, Content creation",6-10,12-25,30-50+,80+,High,40%+,Low,"AI tools understanding, Language skills, Logic, Testing",AI platform certifications,Any degree + AI prompt expertise,8/10,5/10,Learn AI tools → Build portfolio → Apply,"Language-focused, logical thinkers, AI enthusiasts","Those wanting technical depth, avoiding new tech",New and growing field. Future uncertain but currently high demand.,7,8,5
10,Quantum Computing Researcher,Cluster 1,Researches quantum algorithms and applications,"Quantum algorithm research, coding for quantum computers, publishing papers","Research labs, Tech giants, Universities, Government",8-15,20-40,50-100+,2 Cr+,Medium,25%+,Low,"Quantum mechanics, Linear algebra, Programming, Research",PhD in Quantum Physics/CS,PhD required for research roles,8/10,5/10,PhD → Post-doc → Research positions,"Brilliant academics, physics enthusiasts, research-minded","Those wanting quick entry, applied work preference",Cutting-edge field. Limited positions but high impact.,8,9,6
11,Computer Vision Engineer,Cluster 1,Builds systems that interpret visual data,"Image processing, ML model development, algorithm optimization, deployment","Automotive, Healthcare, Security, Tech, Manufacturing",6-10,15-30,35-60+,1 Cr+,High,30%+,Low,"OpenCV, Deep Learning, Python, Image processing",AWS/GCP AI certifications,B.Tech/M.Tech CS with CV specialization,6/10,7/10,B.Tech → CV specialization → Projects → Job,"Visual thinkers, math-strong, algorithm enthusiasts","Those wanting quick results, non-visual preference","Growing field with applications in autonomous vehicles, healthcare AI.",9,9,7
12,NLP Specialist,Cluster 1,Builds systems that understand human language,"Text processing, building language models, chatbots, sentiment analysis","Tech, Customer service, Healthcare, Finance",6-10,15-30,35-60+,1 Cr+,High,30%+,Low,"Python, NLP libraries, Transformers, Deep Learning",AWS/GCP AI certifications,B.Tech/M.Tech CS with NLP focus,6/10,7/10,B.Tech → NLP specialization → Projects → Job,"Language enthusiasts, linguistics interest, ML background",Those avoiding complex algorithms,Growing rapidly with AI boom. ChatGPT has increased demand.,9,9,7
13,Data Engineer,Cluster 1,Builds data pipelines and infrastructure,"Building data pipelines, ETL processes, database management, optimization","Tech, Finance, Healthcare, Ecommerce, All industries",5-8,12-22,28-50+,80+,Very High,25%+,Low,"Python, SQL, Spark, Airflow, Cloud platforms","AWS Data Engineer, GCP Data Engineer",B.Tech CS preferred,7/10,6/10,Software dev → Data tools → Data Engineer,"System builders, data infrastructure interest, backend preference",Those wanting analysis over building,Critical role in data-driven organizations. Growing demand.,8,9,8
14,Business Intelligence Analyst,Cluster 1,Creates reports and dashboards for business insights,"Data visualization, report creation, KPI tracking, stakeholder presentations",All industries with data needs,4-7,8-15,18-30+,50+,High,20%+,Medium,"SQL, Tableau/Power BI, Excel, Data analysis",Tableau/Power BI certifications,B.Tech/BBA + analytics skills,7/10,5/10,Degree → BI tools learning → Analyst role,"Business-minded analysts, visual thinkers, presenters","Those wanting deep tech work, avoiding presentations",Good entry into data careers. Bridge between tech and business.,7,7,8
15,Digital Forensics Analyst,Cluster 1,Investigates cyber crimes and recovers digital evidence,"Evidence collection, analysis, reporting, court testimony, incident investigation","Law enforcement, Government, Corporate security, Consulting",4-7,10-18,20-40+,60+,High,20%+,Low,"Forensics tools, Law understanding, Investigation skills","CFE, EnCE, GCFE",B.Tech + forensics certification,6/10,7/10,IT security → Forensics training → Specialist role,"Investigative minds, detail-oriented, law interest","Those wanting predictable work, avoiding investigation",Growing with cyber crime. Requires investigation mindset.,7,8,8
16,AI Ethics Researcher,Cluster 1,Studies ethical implications of AI systems,"Researching AI bias, developing guidelines, policy advocacy, publishing","Tech companies, Universities, Think tanks, Government",6-12,15-30,30-50+,80+,Medium-High,30%+,Low,"AI understanding, Ethics, Philosophy, Research methods",Relevant PhD helpful,PhD preferred or Master's + experience,8/10,5/10,Ethics/Philosophy/AI background → Research positions,"Ethically-minded, researchers, policy interest",Those wanting purely technical work,Emerging field. Important as AI grows. Limited but growing positions.,7,8,6
17,Edge Computing Specialist,Cluster 1,Builds computing systems at network edge,"Edge device programming, IoT integration, optimization, deployment","Manufacturing, Retail, Healthcare, Smart cities",6-10,15-25,30-50+,80+,High,25%+,Low,"Embedded systems, Cloud, Networking, IoT","AWS IoT, Azure IoT certifications",B.Tech Electronics/CS,7/10,6/10,Embedded/IoT background → Edge specialization,"Hardware-software bridge builders, IoT enthusiasts",Those wanting pure cloud or pure embedded,Growing with IoT expansion. Niche but valuable.,8,8,7
18,AR/VR Developer,Cluster 1,Creates augmented and virtual reality experiences,"3D development, AR/VR programming, UX for immersive, optimization","Gaming, Education, Healthcare, Real estate, Entertainment",5-10,12-25,25-50+,80+,High,30%+,Low,"Unity/Unreal, C#/C++, 3D graphics, AR/VR SDKs",Unity certifications,B.Tech CS or Game development,7/10,6/10,Game dev skills → AR/VR specialization → Portfolio,"Creative technologists, 3D enthusiasts, gamers",Those wanting traditional 2D development,Growing field with metaverse interest. Gaming background helpful.,8,8,6
19,IoT Engineer,Cluster 1,Builds internet-connected devices and systems,"Sensor integration, firmware development, cloud connectivity, security","Manufacturing, Smart homes, Healthcare, Agriculture",4-8,10-20,22-40+,60+,High,25%+,Low,"Embedded C/C++, Sensors, Cloud IoT, Networking","AWS IoT, Azure IoT certifications",B.Tech Electronics/CS,7/10,6/10,Electronics background → IoT specialization → Projects,"Hardware-software integrators, electronics enthusiasts",Those wanting pure software work,Growing with smart everything trend. Hardware + software hybrid.,7,8,7
20,5G Network Engineer,Cluster 1,Designs and maintains 5G network infrastructure,"Network planning, optimization, troubleshooting, deployment","Telecom, Mobile operators, Infrastructure companies",5-10,12-25,25-45+,70+,High,20%+,Low,"Telecom protocols, RF engineering, Network planning","Vendor certifications (Ericsson, Nokia, Huawei)",B.Tech Electronics/Telecom,7/10,6/10,Telecom degree → Vendor training → Network role,"Telecom engineers, network specialists, RF enthusiasts",Those wanting software-only work,Growing with 5G rollout. Telecom specialization.,8,8,8
21,Semiconductor Design Engineer,Cluster 1,Designs computer chips and processors,"Circuit design, simulation, testing, verification, optimization","Semiconductor companies, Tech hardware, Defense",8-15,18-35,40-80+,1 Cr+,High,15%+,Low,"VLSI, Verilog/VHDL, Circuit design, EDA tools",VLSI certifications,B.Tech/M.Tech Electronics/VLSI,7/10,6/10,Electronics degree → VLSI specialization → Design role,"Electronics enthusiasts, hardware designers, detail-oriented","Those wanting software work, avoiding detailed design",Critical role in chip industry. Government push in India.,9,7,9
22,Drone Technology Engineer,Cluster 1,Designs and develops drone/UAV systems,"Drone design, programming, sensor integration, testing, regulation compliance","Defense, Agriculture, Delivery, Surveying, Filmmaking",5-10,12-25,25-45+,70+,High,25%+,Low,"Aerospace basics, Embedded systems, Sensors, Flight control",DGCA drone pilot certification,B.Tech Aerospace/Electronics/Mechanical,7/10,6/10,Engineering degree → Drone specialization → Projects,"Aerospace enthusiasts, hardware-software integrators",Those wanting purely indoor work,Growing industry with applications expanding.,8,8,6
23,Robotics Engineer,Cluster 1,Designs and builds robotic systems,"Robot design, programming, sensor integration, testing, deployment","Manufacturing, Healthcare, Defense, Logistics",6-12,15-30,30-60+,1 Cr+,High,20%+,Low,"Mechanics, Electronics, Programming, ROS, AI","ROS certifications, Vendor certifications",B.Tech/M.Tech Mechanical/Electronics/CS,7/10,6/10,Engineering degree → Robotics specialization → Projects,"Hardware-software integrators, automation enthusiasts",Those wanting pure software or hardware,Growing with automation push. Interdisciplinary field.,9,8,7
24,Autonomous Vehicle Engineer,Cluster 1,Builds self-driving vehicle systems,"Sensor fusion, ML for perception, path planning, testing","Automotive, Tech companies, Logistics",8-15,20-40,40-80+,1 Cr+,High,25%+,Low,"Computer vision, ML, Sensors, C++, ROS",Specialized certifications from vendors,M.Tech/PhD preferred,6/10,8/10,Advanced degree → AV specialization → Industry role,"Tech innovators, automotive + AI interest, researchers",Those wanting established processes,Cutting-edge field. Limited positions but high growth.,9,9,5
25,Digital Twin Engineer,Cluster 1,Creates virtual replicas of physical systems,"3D modeling, simulation, IoT integration, data synchronization","Manufacturing, Smart cities, Healthcare, Energy",6-12,15-30,30-55+,80+,Medium-High,25%+,Low,"3D modeling, Simulation, IoT, Data integration",Vendor-specific certifications,B.Tech CS/Mechanical with simulation skills,7/10,6/10,Engineering + 3D/simulation skills → Digital twin projects,"Modeling enthusiasts, simulation experts, IoT background",Those wanting single-domain work,Emerging field with Industry 4.0. Growing demand.,8,8,6
26,Geospatial/GIS Analyst,Cluster 1,Analyzes geographic data for insights,"Map creation, spatial analysis, data visualization, GPS surveys","Government, Urban planning, Environment, Logistics",3-6,7-15,15-30+,50+,High,15%+,Low,"GIS software, Remote sensing, Cartography, Python","ESRI certifications, GIS certifications",B.Sc/M.Sc Geography/Geomatics or B.Tech,7/10,5/10,Geography/GIS degree → Software skills → Analyst role,"Map enthusiasts, geography interest, spatial thinkers",Those wanting purely indoor desk work,Growing with location-based services and urban planning.,6,7,8
27,UI/UX Designer,Cluster 1,Designs user interfaces and experiences,"Wireframing, prototyping, user research, usability testing, design systems","Tech, E-commerce, Finance, Media, Agencies",3-5,8-15,18-30+,50+,High,20%+,Medium,"Figma/Sketch, User research, Prototyping, Design systems","Google UX Design, NNGroup certifications",Design degree preferred but portfolio matters,7/10,6/10,Design course + portfolio → Junior Designer,"Creative problem-solvers, empathetic, user-focused",Those avoiding subjective feedback,Great career for creative problem-solvers. High freelance potential.,7,8,7
28,Product Designer,Cluster 1,Designs complete product experiences,"Product strategy, UX design, visual design, prototyping, collaboration","Tech, Product companies, Startups",5-10,12-25,25-50+,80+,High,20%+,Medium,"Design tools, Product thinking, Business understanding","Design certifications, MBA helpful",Design degree + product thinking,7/10,6/10,UI/UX → Product understanding → Product Designer,"Strategic designers, product thinkers, business-savvy creatives",Those wanting pure visual design,"Senior design role combining UX, UI, and product strategy.",8,8,7
29,Voice UI Designer,Cluster 1,Designs voice-based user interfaces,"Conversation design, voice interaction patterns, testing, optimization","Tech, Smart home, Automotive, Customer service",6-12,12-25,25-45+,70+,Medium-High,25%+,Low,"Conversation design, Voice platforms, UX principles, Scripting","Voice UX certifications (Amazon, Google)",Design background + voice specialization,7/10,5/10,UX background → Voice UI specialization → Role,"Language-focused designers, voice tech enthusiasts",Those wanting visual design work,Growing with smart speakers and voice assistants.,7,8,6
30,Accessibility Designer,Cluster 1,Designs products accessible to users with disabilities,"Accessibility audits, inclusive design, WCAG compliance, testing","Tech, Government, Healthcare, Education",5-10,10-20,20-40+,60+,High,20%+,Low,"WCAG, Assistive technologies, Inclusive design principles",Accessibility certifications,Design background + accessibility expertise,8/10,5/10,Design → Accessibility specialization → Certification,"Inclusive thinkers, detail-oriented, social impact driven",Those wanting purely creative work,Growing importance with accessibility regulations. Meaningful work.,7,7,8
31,Game Designer,Cluster 1,Designs gameplay mechanics and experiences,"Game concept development, mechanics design, level design, balancing","Gaming, Entertainment, Education, Advertising",4-8,10-20,20-40+,80+,High,15%+,Low,"Game engines, Game mechanics, Storytelling, Level design","Game design courses, Portfolio",Game design degree helpful but portfolio matters,6/10,7/10,Game design course → Portfolio → Game studio,"Gamers, creative storytellers, systems thinkers",Those wanting traditional career paths,Competitive but growing industry. Portfolio essential.,7,7,5
32,Gamification Specialist,Cluster 1,Applies game mechanics to non-game contexts,"Gamification strategy, engagement design, analytics, implementation","Education, Fitness, Corporate training, Marketing",5-10,12-22,22-40+,60+,Medium-High,20%+,Low,"Game mechanics, Psychology, Analytics, Design thinking",Gamification certifications,Psychology/Design/Marketing background,8/10,5/10,Design/Psychology → Gamification specialization,"Psychology enthusiasts, game mechanics experts",Those wanting pure game development,Growing application across industries. Engagement focus.,7,7,6
33,Tech Product Manager,Cluster 1,Manages technology products from concept to launch,"Product strategy, roadmap planning, stakeholder management, launches","Tech companies, Startups, Product companies",10-20,20-40,40-80+,1 Cr+,Very High,20%+,Medium,"Product strategy, Analytics, Communication, Technical understanding",Product management certifications,B.Tech + MBA preferred,6/10,7/10,Engineer → Product roles → MBA → PM,"Strategic thinkers, communicators, tech-savvy business minds",Those wanting purely technical or purely business work,High-demand role. Bridge between tech and business. Leadership track.,9,8,8
34,Growth Hacker/Digital Marketer,Cluster 1,Drives rapid user growth through creative marketing,"Growth experiments, digital campaigns, analytics, optimization","Startups, Ecommerce, Tech, SaaS",4-8,10-20,20-40+,70+,High,20%+,Medium,"Digital marketing, Analytics, A/B testing, Creativity","Google Ads, Analytics certifications",MBA/BBA + digital skills,7/10,6/10,Marketing degree → Digital skills → Startup/agency,"Creative marketers, data-driven, experiment lovers",Those wanting structured marketing work,Startup-friendly role. Creative + analytical mix.,7,8,6
35,SEO & Content Strategy Specialist,Cluster 1,Optimizes content for search engines and engagement,"Keyword research, content optimization, link building, analytics","Digital agencies, Ecommerce, Media, Startups",3-6,7-15,15-30+,50+,High,15%+,Medium,"SEO tools, Content writing, Analytics, Technical SEO","Google Analytics, SEO certifications",Any degree + SEO skills,8/10,5/10,Content background → SEO learning → Specialization,"Content writers, analytical minds, marketing interest",Those wanting purely creative work,Steady demand with digital marketing growth. Freelance-friendly.,6,7,7
36,E-commerce Manager,Cluster 1,Manages online retail operations,"Product listings, inventory management, marketing, customer experience","Retail, E-commerce, D2C brands, Marketplaces",4-8,10-20,20-40+,60+,High,20%+,Medium,"E-commerce platforms, Digital marketing, Operations, Analytics",E-commerce certifications,BBA/MBA + e-commerce experience,7/10,6/10,Retail/Marketing → E-commerce role → Manager,"Business-minded, operations savvy, customer-focused",Those wanting purely creative or technical work,Growing with online retail boom. Operations + marketing mix.,7,8,7
37,SaaS Business Analyst,Cluster 1,Analyzes SaaS business metrics and strategies,"Metrics analysis, pricing strategy, customer analysis, reporting","SaaS companies, Tech startups, Consulting",6-12,15-30,30-50+,80+,High,20%+,Low,"Analytics, SaaS metrics, Business strategy, SQL",Business analysis certifications,B.Tech/MBA with analytics,8/10,5/10,Analytics background → SaaS specialization,"Business analysts, startup enthusiasts, metrics-driven",Those wanting purely technical or creative work,Growing with SaaS boom. Strategic analytics role.,8,8,7
38,Digital Transformation Consultant,Cluster 1,Advises organizations on digital transformation,"Digital strategy, change management, technology implementation, training","Consulting, Large enterprises, Government",10-20,20-40,40-80+,1 Cr+,High,20%+,Medium,"Digital technologies, Strategy, Change management, Communication","Consulting certifications, MBA",MBA + technology experience,6/10,7/10,Tech/consulting background → Digital transformation focus,"Strategic thinkers, change agents, experienced professionals","Entry-level, those wanting purely technical work",Senior consulting role. High demand as companies digitize.,9,8,7
39,Cybersecurity Lawyer/Cyber Law Expert,Cluster 1,Specializes in cyber law and data protection,"Legal advice on cyber issues, compliance, litigation, policy","Law firms, Corporate legal, Government, Consulting",10-20,25-50,50-100+,2 Cr+,High,25%+,Low,"Law, IT understanding, Data protection regulations, Litigation",Law degree + cyber law specialization,LLB + cyber law specialization,7/10,6/10,Law degree → Cyber law specialization → Practice,"Lawyers with tech interest, policy enthusiasts, compliance-minded","Non-lawyers, those wanting purely tech work",Niche legal specialization. Growing with data regulations.,9,8,9
40,Platform/API Economist,Cluster 1,Analyzes platform economics and API monetization,"Pricing strategy, ecosystem analysis, API business models, research","Tech platforms, API companies, Research",12-25,25-50,50-100+,2 Cr+,Medium,20%+,Low,"Economics, Platform understanding, Data analysis, Strategy",Economics/PhD helpful,PhD Economics or MBA + tech economics,8/10,5/10,Economics background → Tech platform focus,"Economists, strategy enthusiasts, platform business interest",Those wanting purely technical or non-analytical work,Emerging niche. High-value specialization in tech economics.,9,7,6
41,Solar Energy Engineer,Cluster 2,Designs solar energy systems for various applications,"System design, site assessment, project management, technical documentation","Solar companies, EPC contractors, Government energy, Utilities",3-5,8-15,18-35+,50+,High,25%+,Low,"Electrical engineering, PV design, AutoCAD, Energy modeling","MNRE certifications, Solar design courses",B.Tech Electrical/Mechanical preferred,7/10,6/10,Engineering degree → Solar specialization → EPC company,"Environment-conscious engineers, renewable energy interest",Those wanting pure office work,Growing sector with government push. Mix of technical and site work.,6,9,7
